POSITIONS,,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
,,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Tue Jul 14 2020,,,,,,,,,,,,
To Date,Wed Jul 14 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit,0,,,,,,,,,,,,
 Stop Loss, 2500 Total MTM,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Overall Profit,358090,,,,,,,,,,,,
Avg Expiry Profit,6756,,,,,,,,,,,,
Avg Day Profit,1432,,,,,,,,,,,,
Max Profit,23192,,,,,,,,,,,,
Max Loss,-2500,,,,,,,,,,,,
Total Expiries,53,,,,,,,,,,,,
Win% (Days), 56% (140),,,,,,,,,,,,
Loss% (Days), 44% (110),,,,,,,,,,,,
Avg Profit On Win Days,4378,,,,,,,,,,,,
Avg Loss On Loss Days,-2317,,,,,,,,,,,,
Lot Size,4,,,,,,,,,,,,
Max Drawdown (MDD),-17500 (3 Days),,,,,,,,,,,,
Return to MDD Ratio,20.63,,,,,,,,,,,,
Max Winning Streak, 9 Days,,,,,,,,,,,,
Max Losing Streak, 7 Days,,,,,,,,,,,,
Expectancy,0.62,,,,,,,,,,,,
MTM SL Hit Count, 99 Days,,,,,,,,,,,,
0 SL/TP Hit Count, 6 Days,,,,,,,,,,,,
1 SL/TP Hit Count, 24 Days,,,,,,,,,,,,
2 SL/TP Hit Count, 195 Days,,,,,,,,,,,,
3 & more SL/TP Hit Count, 25 Days,,,,,,,,,,,,
,,,,,,,,,,,,,
stockmock.in,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2020,0,0,0,0,0,0,10858,47382,-380,36772,13929,14783,123344
2021,6224,66699,52140,23859,25949,39561,20314,0,0,0,0,0,234746
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
