POSITIONS

Square Off,Leg

Move SL to Cost,False

Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type
1,SELL,Options,PUT,,30 %,Banknifty,Weekly
1,SELL,Options,CALL,,30 %,Banknifty,Weekly

From Date,Fri May 14 2021,,To Date,Mon Jun 14 2021

Entry Time,13:00,,Exit Time,14:55


Target Profit, ,, Stop Loss, 

Strategy Type, Intraday


Overall Profit, ₹16251
Avg Expiry Profit, ₹3250
Avg Day Profit, ₹738
Max Profit, ₹3017
Max Loss, ₹-1361
Total Expiries, 5
Win% (Days), 82% (18)
Loss% (Days), 18% (4)
Avg Profit On Win Days, ₹1059
Avg Loss On Loss Days, ₹-703
Lot Size, 2
Max Drawdown (MDD), ₹-2641
Return to MDD Ratio, NA
Max Winning Streak, 7 Days
Max Losing Streak, 3 Days
Expectancy, NA
0 SL/TP Hit Count, 9 Days
1 SL/TP Hit Count, 12 Days
2 SL/TP Hit Count, 1 Days

stockmock.in,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2021,0,0,0,0,10172,6079,0,0,0,0,0,0,16251

Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE
14 May 2021 (Fri),823,1048/-368,42.85 (0.13%),20.2 - 19.91,-,-14.80 (32262.55-32247.75),603.75 (450.85-426.7 = -24.15) 32300PE,220.00 (441.4-432.6 = -8.80) 32300CE
17 May 2021 (Mon),263,1106/-292,268.3 (0.83%),19.46 - 20.3,-,255.95 (33151.05-33407.00),3038.75 (392.7-271.15 = -121.55) 33200PE,-2775.50 (370.05-481.07 = 111.02) 33200CE 14:44:00
18 May 2021 (Tue),678,973/-62,433.85 (1.3%),19.11 - 19.09,Day Open > PDH,-68.50 (33960.35-33891.85),-126.25 (324.95-330 = 5.05) 34000PE,805.00 (293.75-261.55 = -32.20) 34000CE
19 May 2021 (Wed),790,996/-103,-205.3 (-0.61%),19.36 - 19.24,Day Open < PDL,66.00 (33737.60-33803.60),1275.00 (201-150 = -51.00) 33700PE,-485.00 (244.5-263.9 = 19.40) 33700CE
20 May 2021 (Thu),2525,2533/-192,7.35 (0.02%),19.52 - 19.73,-,-276.15 (33637.20-33361.05),-551.25 (73.5-95.55 = 22.05) 33600PE 13:13:00,3076.25 (126.6-3.55 = -123.05) 33600CE

Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE
21 May 2021 (Fri),980,1270/-1587,225.25 (0.68%),19.13 - 19.1,-,494.30 (34013.90-34508.20),4777.50 (408.2-217.1 = -191.10) 34000PE,-3797.00 (506.25-658.13 = 151.88) 34000CE 14:18:00
24 May 2021 (Mon),1813,2086/-1101,262.4 (0.76%),19.23 - 19.15,Day Open > PDH,456.50 (34724.95-35181.45),5077.50 (376.75-173.65 = -203.10) 34700PE,-3263.50 (435.15-565.69 = 130.54) 34700CE 14:37:00
25 May 2021 (Tue),-171,1131/-3314,151.4 (0.43%),18.85 - 18.84,-,-73.10 (34616.35-34543.25),-2150.75 (286.75-372.78 = 86.03) 34600PE 13:44:00,1978.75 (379.4-300.25 = -79.15) 34600CE
26 May 2021 (Wed),20,815/-878,95.15 (0.27%),18.75 - 20.94,-,-64.60 (34824.80-34760.20),-1487.75 (198.35-257.86 = 59.51) 34800PE 13:43:00,1508.75 (289.25-228.9 = -60.35) 34800CE
27 May 2021 (Thu),1275,1431/-1384,-20 (-0.06%),20.68 - 20.1,-,86.15 (34813.35-34899.50),2233.75 (105.7-16.35 = -89.35) 34800PE,-958.50 (127.8-166.14 = 38.34) 34800CE 13:02:00

Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE
28 May 2021 (Fri),653,869/-117,250.6 (0.71%),17.44 - 17.42,Day Open > PDH,-61.40 (35105.30-35043.90),-433.75 (445.75-463.1 = 17.35) 35100PE,1087.50 (522.05-478.55 = -43.50) 35100CE
31 May 2021 (Mon),523,757/-29,-44 (-0.13%),16.77 - 16.8,-,-3.75 (35451.90-35448.15),505.00 (399.45-379.25 = -20.20) 35500PE,18.75 (351.95-351.2 = -0.75) 35500CE
1 Jun 2021 (Tue),866,1092/-87,113.1 (0.32%),17.58 - 17.5,Day Open > PDH,-47.75 (35382.00-35334.25),-242.50 (286-295.7 = 9.70) 35400PE,1108.75 (308.85-264.5 = -44.35) 35400CE
2 Jun 2021 (Wed),879,969/-891,-65.6 (-0.19%),17.53 - 17.21,-,174.40 (35161.95-35336.35),2345.00 (216.75-122.95 = -93.80) 35200PE,-1465.25 (195.35-253.96 = 58.61) 35200CE 14:00:00
3 Jun 2021 (Thu),-1361,655/-1361,162.7 (0.46%),15.61 - 15.51,Day Open > PDH,73.45 (35532.60-35606.05),-521.25 (69.5-90.35 = 20.85) 35500PE 13:14:00,-840.25 (112.05-145.66 = 33.61) 35500CE 13:42:00

Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE
4 Jun 2021 (Fri),-773,528/-1269,8.85 (0.02%),15.96 - 15.85,-,-147.70 (35430.10-35282.40),-2648.50 (353.15-459.09 = 105.94) 35400PE 13:43:00,1875.00 (482.15-407.15 = -75.00) 35400CE
7 Jun 2021 (Mon),-507,296/-1329,169.15 (0.48%),14.82 - 15.85,-,74.95 (35415.40-35490.35),656.25 (253-226.75 = -26.25) 35400PE,-1163.75 (347.85-394.4 = 46.55) 35400CE
8 Jun 2021 (Tue),1088,1197/-108,-9.85 (-0.03%),15.5 - 15.27,-,81.20 (35061.10-35142.30),1466.25 (241-182.35 = -58.65) 35100PE,-377.50 (264.25-279.35 = 15.10) 35100CE
9 Jun 2021 (Wed),3017,3198/-303,28.95 (0.08%),14.96 - 14.98,-,-446.25 (35214.15-34767.90),-1055.00 (140.65-182.85 = 42.20) 35200PE 13:10:00,4072.50 (217.15-54.25 = -162.90) 35200CE
10 Jun 2021 (Thu),1214,1244/-823,103.1 (0.3%),14.99 - 15.01,-,209.60 (34849.05-35058.65),2231.25 (93.05-3.8 = -89.25) 34800PE,-1017.00 (135.6-176.28 = 40.68) 34800CE 13:02:00

