POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Overall Profit,179892,,,,,,,,,,,,
Avg Expiry Profit,3331,,,,,,,,,,,,
Avg Day Profit,719,,,,,,,,,,,,
Max Profit,9944,,,,,,,,,,,,
Max Loss,-7609,,,,,,,,,,,,
Total Expiries,54,,,,,,,,,,,,
Win% (Days), 70% (174),,,,,,,,,,,,
Loss% (Days), 30% (76),,,,,,,,,,,,
Avg Profit On Win Days,2040,,,,,,,,,,,,
Avg Loss On Loss Days,-2305,,,,,,,,,,,,
Lot Size,2,,,,,,,,,,,,
Max Drawdown (MDD),-12123 (10 Days),,,,,,,,,,,,
Return to MDD Ratio,14.96,,,,,,,,,,,,
Max Winning Streak, 12 Days,,,,,,,,,,,,
Max Losing Streak, 4 Days,,,,,,,,,,,,
Expectancy,0.32,,,,,,,,,,,,
0 SL/TP Hit Count, 29 Days,,,,,,,,,,,,
1 SL/TP Hit Count, 189 Days,,,,,,,,,,,,
2 SL/TP Hit Count, 32 Days,,,,,,,,,,,,
,,,,,,,,,,,,,
stockmock.in,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2020,0,0,0,0,0,0,-1505,26040,6901,15580,5374,18760,71150
2021,5728,22764,25438,20709,5262,16203,12638,0,0,0,0,0,108742
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
16 Jul 2020 (Thu),2075,2075/-408,112.5 (0.53%),25.75 - 25.46,-,334.75 (21206.70-21541.45),3055.00 (122.85-0.65 = -122.20) 21200PE,-979.50 (130.6-169.78 = 39.18) 21200CE 11:32:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
17 Jul 2020 (Fri),447,824/-458,10.9 (0.05%),25.04 - 24.33,-,145.90 (21717.45-21863.35),2357.50 (413.2-318.9 = -94.30) 21700PE,-1910.00 (418.4-494.8 = 76.40) 21700CE,,,,,
20 Jul 2020 (Mon),1268,1791/0,340.5 (1.55%),24.67 - 24.72,Day Open > PDH,-115.45 (22490.95-22375.50),-70.00 (427.2-430 = 2.80) 22500PE,1338.75 (348.55-295 = -53.55) 22500CE,,,,,
21 Jul 2020 (Tue),530,1340/-105,318 (1.42%),24.18 - 24.42,Day Open > PDH,106.40 (22680.30-22786.70),2635.00 (335.15-229.75 = -105.40) 22700PE,-2104.75 (280.65-364.84 = 84.19) 22700CE 14:19:00,,,,,
