POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Overall Profit,210367,,,,,,,,,,,,
Avg Expiry Profit,3895,,,,,,,,,,,,
Avg Day Profit,841,,,,,,,,,,,,
Max Profit,13247,,,,,,,,,,,,
Max Loss,-2500,,,,,,,,,,,,
Total Expiries,54,,,,,,,,,,,,
Win% (Days), 64% (159),,,,,,,,,,,,
Loss% (Days), 36% (91),,,,,,,,,,,,
Avg Profit On Win Days,2532,,,,,,,,,,,,
Avg Loss On Loss Days,-2112,,,,,,,,,,,,
Lot Size,2,,,,,,,,,,,,
Max Drawdown (MDD),-15484 (17 Days),,,,,,,,,,,,
Return to MDD Ratio,13.69,,,,,,,,,,,,
Max Winning Streak, 12 Days,,,,,,,,,,,,
Max Losing Streak, 6 Days,,,,,,,,,,,,
Expectancy,0.41,,,,,,,,,,,,
0 SL/TP Hit Count, 7 Days,,,,,,,,,,,,
1 SL/TP Hit Count, 171 Days,,,,,,,,,,,,
2 SL/TP Hit Count, 72 Days,,,,,,,,,,,,
,,,,,,,,,,,,,
stockmock.in,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2020,0,0,0,0,0,0,428,29321,-10285,24814,15582,9739,69599
2021,13534,47657,23950,4610,22694,14270,14053,0,0,0,0,0,140768
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
16 Jul 2020 (Thu),1804,1804/-679,112.5 (0.53%),25.75 - 25.46,-,334.75 (21206.70-21541.45),3055.00 (122.85-0.65 = -122.20) 21200PE,-1250.00 (130.6-180.6 = 50.00) 21200CE 11:36:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
17 Jul 2020 (Fri),-2500,592/-2500,10.9 (0.05%),25.04 - 24.33,-,145.90 (21717.45-21863.35),-1250.00 (413.2-463.2 = 50.00) 21700PE 10:47:00,-1250.00 (418.4-468.4 = 50.00) 21700CE 10:14:00,,,,,
20 Jul 2020 (Mon),88,2466/-1007,340.5 (1.55%),24.67 - 24.72,Day Open > PDH,-115.45 (22490.95-22375.50),-1250.00 (427.2-477.2 = 50.00) 22500PE 10:41:00,1338.75 (348.55-295 = -53.55) 22500CE,,,,,
21 Jul 2020 (Tue),1384,2194/-105,318 (1.42%),24.18 - 24.42,Day Open > PDH,106.40 (22680.30-22786.70),2635.00 (335.15-229.75 = -105.40) 22700PE,-1250.00 (280.65-330.65 = 50.00) 22700CE 14:17:00,,,,,
22 Jul 2020 (Wed),-811,2547/-1942,377 (1.65%),24.84 - 25.42,Day Open > PDH,-53.00 (22766.40-22713.40),438.75 (302.3-284.75 = -17.55) 22800PE,-1250.00 (214.35-264.35 = 50.00) 22800CE 10:49:00,,,,,
23 Jul 2020 (Thu),1672,1697/-173,-27.75 (-0.12%),24.38 - 24.65,-,151.10 (22840.70-22991.80),2922.50 (119.4-2.5 = -116.90) 22800PE,-1250.00 (138.45-188.45 = 50.00) 22800CE 11:01:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
24 Jul 2020 (Fri),-28,2095/-1203,-230.7 (-1%),25.02 - 24.65,-,-67.05 (22724.30-22657.25),-1250.00 (431.55-481.55 = 50.00) 22700PE 10:37:00,1221.25 (400-351.15 = -48.85) 22700CE,,,,,
27 Jul 2020 (Mon),1306,1656/-1446,2.55 (0.01%),25.51 - 25.02,-,-252.05 (22151.70-21899.65),-1250.00 (397.85-447.85 = 50.00) 22200PE 11:28:00,2556.25 (322.25-220 = -102.25) 22200CE,,,,,
28 Jul 2020 (Tue),-2500,1201/-2500,91.4 (0.42%),24.79 - 23.79,-,260.20 (21859.30-22119.50),-1250.00 (331.95-381.95 = 50.00) 21900PE 10:07:00,-1250.00 (293.05-343.05 = 50.00) 21900CE 12:36:00,,,,,
29 Jul 2020 (Wed),-2500,1728/-2500,-30.2 (-0.14%),23.99 - 24.38,-,-133.60 (22121.75-21988.15),-1250.00 (207.45-257.45 = 50.00) 22100PE 14:45:00,-1250.00 (275.9-325.9 = 50.00) 22100CE 10:53:00,,,,,
30 Jul 2020 (Thu),1527,1729/0,118.45 (0.54%),23.65 - 24.72,-,-437.35 (22160.85-21723.50),-1250.00 (133.35-183.35 = 50.00) 22200PE 12:41:00,2777.50 (112.05-0.95 = -111.10) 22200CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
31 Jul 2020 (Fri),986,1876/-1960,83.7 (0.39%),24.79 - 24.53,-,-95.45 (21645.50-21550.05),-1250.00 (411-461 = 50.00) 21600PE 10:10:00,2236.25 (479.45-390 = -89.45) 21600CE,,,,,
3 Aug 2020 (Mon),-2500,314/-2500,-96.25 (-0.44%),25.23 - 25.31,-,-223.60 (21293.35-21069.75),-1250.00 (357.05-407.05 = 50.00) 21300PE 12:40:00,-1250.00 (350.15-400.15 = 50.00) 21300CE 10:16:00,,,,,
4 Aug 2020 (Tue),2918,3042/-50,176.15 (0.84%),24.68 - 23.87,-,258.10 (21286.60-21544.70),4168.75 (312.75-146 = -166.75) 21300PE,-1250.00 (292.2-342.2 = 50.00) 21300CE 10:33:00,,,,,
